Age,IsAdult,Job,Qualification,MaritalStatus,Gender,BankBalance,Salary
39,1,GovtJob,Bachelor,UnMarried,Male,77516,<=50K
50,1,SelfEmployed,Bachelor,Married,Male,83311,<=50K
38,1,PrivateJob,Bachelor,Divorced,Male,215646,<=50K
53,1,PrivateJob,School,Married,Male,234721,<=50K
28,1,PrivateJob,Bachelor,Married,Female,338409,<=50K
37,1,PrivateJob,Masters,Married,Female,284582,<=50K
49,1,PrivateJob,School,Married,Female,160187,<=50K
52,1,SelfEmployed,Bachelor,Married,Male,209642,>50K
31,1,PrivateJob,Masters,UnMarried,Female,45781,>50K
42,1,PrivateJob,Bachelor,Married,Male,159449,>50K
37,1,PrivateJob,Bachelor,Married,Male,280464,>50K
30,1,GovtJob,Bachelor,Married,Male,141297,>50K
23,1,PrivateJob,Bachelor,UnMarried,Female,122272,<=50K
32,1,PrivateJob,Bachelor,UnMarried,Male,205019,<=50K
40,1,PrivateJob,Bachelor,Married,Male,121772,>50K
34,1,PrivateJob,School,Married,Male,245487,<=50K
25,1,SelfEmployed,Bachelor,UnMarried,Male,176756,<=50K
32,1,PrivateJob,Bachelor,UnMarried,Male,186824,<=50K
38,1,PrivateJob,School,Married,Male,28887,<=50K
43,1,SelfEmployed,Masters,Divorced,Female,292175,>50K
40,1,PrivateJob,Doctorate,Married,Male,193524,>50K
54,1,PrivateJob,Bachelor,Divorced,Female,302146,<=50K
35,1,GovtJob,School,Married,Male,76845,<=50K
43,1,PrivateJob,School,Married,Male,117037,<=50K
59,1,PrivateJob,Bachelor,Divorced,Female,109015,<=50K
56,1,GovtJob,Bachelor,Married,Male,216851,>50K
19,1,PrivateJob,Bachelor,UnMarried,Male,168294,<=50K
54,1,SelfEmployed,Bachelor,Married,Male,180211,>50K
39,1,PrivateJob,Bachelor,Divorced,Male,367260,<=50K
49,1,PrivateJob,Bachelor,Married,Male,193366,<=50K
23,1,GovtJob,Bachelor,UnMarried,Male,190709,<=50K
20,1,PrivateJob,Bachelor,UnMarried,Male,266015,<=50K
45,1,PrivateJob,Bachelor,Divorced,Male,386940,<=50K
30,1,GovtJob,Bachelor,Married,Male,59951,<=50K
22,1,GovtJob,Bachelor,Married,Male,311512,<=50K
48,1,PrivateJob,School,UnMarried,Male,242406,<=50K
21,1,PrivateJob,Bachelor,UnMarried,Male,197200,<=50K
